Date,Time,Time.Point,day,ElapsedDays,Bottle,Treatment,Depth,Rep,CO2.sys.ppm.p,CH4.sys.ppm.p,n.mol.p,CO2.air.ppm,CH4.air.ppm,CO2.sys.ppm,CH4.sys.ppm
10/20/2016,11:07,T13,15,14.84,IB 20-M3,IB 20,M,3,764.68,2.3679,0.02,483.61,1.8895,796.38,2.3958
10/24/2016,12:11,T14,19,18.88,IB 20-M3,IB 20,M,3,796.38,2.3958,0.02,423.38,1.988,850.51,2.5183
10/26/2016,15:39,T15,21,21.03,IB 20-M3,IB 20,M,3,850.51,2.5183,0.02,460.54,2.0905,837.22,2.5237
10/26/2016,16:40,T15,21,21.07,IB 20-M3,IB 20,M,3,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,683.28,2.2814
10/28/2016,13:45,T16,23,22.95,IB 20-M3,IB 20,M,3,683.28,2.2814,0.02,480.31,1.9668,710.93,2.304
10/31/2016,15:05,T15,26,26,IB 20-M3,IB 20,M,3,710.93,2.3040,0.02,489.39,1.9626,770.3,2.3583
11/2/2016,14:25,T16,28,27.98,IB 20-M3,IB 20,M,3,770.30,2.3583,0.02,406.91,1.9095,777.64,2.3626
11/4/2016,10:25,T17,30,29.81,IB 20-M3,IB 20,M,3,777.64,2.3626,0.02,488.34,1.9233,818.06,2.3707
11/7/2016,15:28,T18,33,33.02,IB 20-M3,IB 20,M,3,818.06,2.3707,0.02,483.26,1.9437,924.15,2.4476
11/10/2016,9:58,T19,36,35.79,IB 20-M3,IB 20,M,3,924.15,2.4476,0.02,482.52,1.9569,978.1,2.4661
12/1/2016,11:00,T20,57,56.83,IB 20-M3,IB 20,M,3,978.10,2.4661,0.02,747,1.929,2576,3.201
12/8/2016,14:40,T21,64,63.99,IB 20-M3,IB 20,M,3,2576.00,3.2010,0.02,640.45,2.094,3062.67,3.3919
12/8/2016,14:40,T21,64,63.99,IB 20-M3,IB 20,M,3,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,657.07,2.0778
12/20/2016,9:30,T22,76,75.77,IB 20-M3,IB 20,M,3,657.07,2.0778,0.02,495.47,1.9923,1150.46,2.2391
1/4/2017,14:00,T23,91,90.96,IB 20-M3,IB 20,M,3,1150.46,2.2391,0.02,557,2.221,2422,2.854
1/10/2017,10:00,T24,97,96.79,IB 20-M3,IB 20,M,3,2422.00,2.8540,0.02,554,2.024,2539,2.932
1/18/2017,11:00,T25,105,104.83,IB 20-M3,IB 20,M,3,2539.00,2.9320,0.02,558,1.9275,2665,3.054
1/25/2017,13:30,T26,112,111.94,IB 20-M3,IB 20,M,3,2665.00,3.0540,0.02,565.8,2.024,2454.7,3.1117
2/1/2017,10:30,T27,119,118.81,IB 20-M3,IB 20,M,3,2454.70,3.1117,0.02,607.3,2.029,2633.5,3.213
2/8/2017,14:00,T28,126,125.96,IB 20-M3,IB 20,M,3,2633.50,3.2130,0.02,507,1.9503,2711,3.2556
2/15/2017,14:35,T29,133,132.98,IB 20-M3,IB 20,M,3,2711.00,3.2556,0.02,605,1.967,2760,3.267
2/22/2017,13:30,T30,140,139.94,IB 20-M3,IB 20,M,3,2760.00,3.2670,0.02,532.6,1.91,2814,3.293
3/2/2017,9:40,T31,148,147.78,IB 20-M3,IB 20,M,3,2814.00,3.2930,0.02,487.9,1.926,2911,3.371
3/7/2017,14:17,T32,153,152.97,IB 20-M3,IB 20,M,3,2911.00,3.3710,0.02,408.7,1.906,2752.3,3.291
3/15/2017,15:00,T33,161,161,IB 20-M3,IB 20,M,3,2752.30,3.2910,0.02,473,1.917,2811.6,3.368
10/5/2016,15:00,T7,0,0,IB 20-S1,IB 20,S,1,"","",0.02,,,545.55,2.027
10/6/2016,15:30,T8,1,1.02,IB 20-S1,IB 20,S,1,545.55,2.0270,0.02,422.09,1.8753,599.3,2.0433
10/7/2016,11:13,T9,2,1.84,IB 20-S1,IB 20,S,1,599.30,2.0433,0.02,438.62,1.8384,632.56,2.0425
10/11/2016,15:11,T10,6,6.01,IB 20-S1,IB 20,S,1,632.56,2.0425,0.02,554.45,2.0166,837.1,2.2301
10/14/2016,15:25,T11,9,9.02,IB 20-S1,IB 20,S,1,837.10,2.2301,0.02,475.89,1.9878,852.69,2.2968
10/17/2016,10:20,T12,12,11.81,IB 20-S1,IB 20,S,1,852.69,2.2968,0.02,550.81,1.9469,908.78,2.36
10/20/2016,11:07,T13,15,14.84,IB 20-S1,IB 20,S,1,908.78,2.3600,0.02,479.86,1.9019,963.62,2.4085
10/24/2016,12:11,T14,19,18.88,IB 20-S1,IB 20,S,1,963.62,2.4085,0.02,436.5,2.01,1071.87,2.53
