Date,Time,Time.Point,day,ElapsedDays,Bottle,Treatment,Depth,Rep,CO2.sys.ppm.p,CH4.sys.ppm.p,n.mol.p,CO2.air.ppm,CH4.air.ppm,CO2.sys.ppm,CH4.sys.ppm
11/10/2016,9:58,T19,36,35.79,IB 30-M1,IB 30,M,1,2165.52,3.1306,0.02,492.01,1.9705,1951.36,3.2334
12/1/2016,11:00,T20,57,56.83,IB 30-M1,IB 30,M,1,1951.36,3.2334,0.02,767,1.924,4932,5.539
12/8/2016,14:40,T21,64,63.99,IB 30-M1,IB 30,M,1,4932.00,5.5390,0.02,601.6,2.1033,4789.76,5.692
12/8/2016,14:40,T21,64,63.99,IB 30-M1,IB 30,M,1,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,700.23,2.1131
12/20/2016,9:30,T22,76,75.77,IB 30-M1,IB 30,M,1,700.23,2.1131,0.02,491.39,2.1347,2748,3.4057
1/4/2017,14:00,T23,91,90.96,IB 30-M1,IB 30,M,1,2748.00,3.4057,0.02,592,2,4226,4.717
1/10/2017,10:00,T24,97,96.79,IB 30-M1,IB 30,M,1,4226.00,4.7170,0.02,549,1.982,4581,5.043
1/18/2017,11:00,T25,105,104.83,IB 30-M1,IB 30,M,1,4581.00,5.0430,0.02,487,1.918,4704,5.185
1/25/2017,13:30,T26,112,111.94,IB 30-M1,IB 30,M,1,4704.00,5.1850,0.02,552.5,2.0296,5000,5.407
2/1/2017,10:30,T27,119,118.81,IB 30-M1,IB 30,M,1,5000.00,5.4070,0.02,623.5,2.052,5051,5.457
2/8/2017,14:00,T28,126,125.96,IB 30-M1,IB 30,M,1,5051.00,5.4570,0.02,526.5,1.953,5233,5.7387
2/15/2017,14:35,T29,133,132.98,IB 30-M1,IB 30,M,1,5233.00,5.7387,0.02,572.9,1.982,5038.1,5.671
2/22/2017,13:30,T30,140,139.94,IB 30-M1,IB 30,M,1,5038.10,5.6710,0.02,578.7,1.914,4993.9,5.643
3/2/2017,9:40,T31,148,147.78,IB 30-M1,IB 30,M,1,4993.90,5.6430,0.02,490,1.917,4646,5.741
3/7/2017,14:17,T32,153,152.97,IB 30-M1,IB 30,M,1,4646.00,5.7410,0.02,406.3,1.888,4412.9,5.559
3/15/2017,15:00,T33,161,161,IB 30-M1,IB 30,M,1,4412.90,5.5590,0.02,476,1.918,4400.1,5.703
10/5/2016,15:00,T7,0,0,IB 30-M2,IB 30,M,2,"","",0.02,,,516.01,2.1407
10/6/2016,15:30,T8,1,1.02,IB 30-M2,IB 30,M,2,516.01,2.1407,0.02,437.35,1.8567,565.56,2.213
10/7/2016,11:13,T9,2,1.84,IB 30-M2,IB 30,M,2,565.56,2.2130,0.02,448.38,1.8604,596.56,2.2573
10/11/2016,15:11,T10,6,6.01,IB 30-M2,IB 30,M,2,596.56,2.2573,0.02,537.85,1.9908,975.89,2.7465
10/14/2016,15:25,T11,9,9.02,IB 30-M2,IB 30,M,2,975.89,2.7465,0.02,453.5,1.9869,1166.53,3.008
10/17/2016,10:20,T12,12,11.81,IB 30-M2,IB 30,M,2,1166.53,3.0080,0.02,526.68,1.9156,1424.97,3.1757
10/20/2016,11:07,T13,15,14.84,IB 30-M2,IB 30,M,2,1424.97,3.1757,0.02,468.08,1.8768,1745.82,3.3381
10/24/2016,12:11,T14,19,18.88,IB 30-M2,IB 30,M,2,1745.82,3.3381,0.02,421.43,1.9839,2437.55,3.6297
10/26/2016,15:39,T15,21,21.03,IB 30-M2,IB 30,M,2,2437.55,3.6297,0.02,437.81,1.9712,2588.62,3.5699
10/26/2016,16:40,T15,21,21.07,IB 30-M2,IB 30,M,2,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,1634.84,2.8388
10/28/2016,13:45,T16,23,22.95,IB 30-M2,IB 30,M,2,1634.84,2.8388,0.02,479.45,1.9606,1759.55,2.8945
10/31/2016,15:05,T15,26,26,IB 30-M2,IB 30,M,2,1759.55,2.8945,0.02,492.16,1.9764,2189.03,3.0942
11/2/2016,14:25,T16,28,27.98,IB 30-M2,IB 30,M,2,2189.03,3.0942,0.02,409.98,1.9017,2270.63,3.1183
11/4/2016,10:25,T17,30,29.81,IB 30-M2,IB 30,M,2,2270.63,3.1183,0.02,492.76,1.9169,2176.76,3.0882
11/7/2016,15:28,T18,33,33.02,IB 30-M2,IB 30,M,2,2176.76,3.0882,0.02,497.93,1.9494,2484.88,3.2506
11/10/2016,9:58,T19,36,35.79,IB 30-M2,IB 30,M,2,2484.88,3.2506,0.02,492.59,1.9639,2212.87,3.3186
12/1/2016,11:00,T20,57,56.83,IB 30-M2,IB 30,M,2,2212.87,3.3186,0.02,743,1.922,5355.53,4.54
12/8/2016,14:40,T21,64,63.99,IB 30-M2,IB 30,M,2,5355.53,4.5400,0.02,595.67,2.1001,2465.63,3.3572
12/8/2016,14:40,T21,64,63.99,IB 30-M2,IB 30,M,2,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,660.61,2.081
12/20/2016,9:30,T22,76,75.77,IB 30-M2,IB 30,M,2,660.61,2.0810,0.02,496.53,1.9781,2358,3.2058
1/4/2017,14:00,T23,91,90.96,IB 30-M2,IB 30,M,2,2358.00,3.2058,0.02,591,2.03,4495,4.94
1/10/2017,10:00,T24,97,96.79,IB 30-M2,IB 30,M,2,4495.00,4.9400,0.02,552,1.979,4540,5.112
1/18/2017,11:00,T25,105,104.83,IB 30-M2,IB 30,M,2,4540.00,5.1120,0.02,488,1.904,4862,5.451
1/25/2017,13:30,T26,112,111.94,IB 30-M2,IB 30,M,2,4862.00,5.4510,0.02,558.5,2.0197,5097,5.772
2/1/2017,10:30,T27,119,118.81,IB 30-M2,IB 30,M,2,5097.00,5.7720,0.02,621.9,2.043,5333,5.89
2/8/2017,14:00,T28,126,125.96,IB 30-M2,IB 30,M,2,5333.00,5.8900,0.02,505.7,1.9382,5770,6.2
2/15/2017,14:35,T29,133,132.98,IB 30-M2,IB 30,M,2,5770.00,6.2000,0.02,591.7,1.977,5394.7,5.8423
2/22/2017,13:30,T30,140,139.94,IB 30-M2,IB 30,M,2,5394.70,5.8423,0.02,570.6,1.918,4560.7,6.01
3/2/2017,9:40,T31,148,147.78,IB 30-M2,IB 30,M,2,4560.70,6.0100,0.02,496,1.917,4913,6.043
3/7/2017,14:17,T32,153,152.97,IB 30-M2,IB 30,M,2,4913.00,6.0430,0.02,409.3,1.891,4879.1,5.993
3/15/2017,15:00,T33,161,161,IB 30-M2,IB 30,M,2,4879.10,5.9930,0.02,471.1,1.9198,4827,5.767
10/5/2016,15:00,T7,0,0,IB 30-M3,IB 30,M,3,"","",0.02,,,523.15,2.0026
10/6/2016,15:30,T8,1,1.02,IB 30-M3,IB 30,M,3,523.15,2.0026,0.02,428.18,1.8582,575.33,1.9967
10/7/2016,11:13,T9,2,1.84,IB 30-M3,IB 30,M,3,575.33,1.9967,0.02,443.18,1.8528,600.82,1.9954
10/11/2016,15:11,T10,6,6.01,IB 30-M3,IB 30,M,3,600.82,1.9954,0.02,542.63,1.9959,831.52,2.1078
10/14/2016,15:25,T11,9,9.02,IB 30-M3,IB 30,M,3,831.52,2.1078,0.02,457.61,1.9837,946.21,2.1594
10/17/2016,10:20,T12,12,11.81,IB 30-M3,IB 30,M,3,946.21,2.1594,0.02,513.29,1.9152,1087.34,2.179
10/20/2016,11:07,T13,15,14.84,IB 30-M3,IB 30,M,3,1087.34,2.1790,0.02,466.48,1.8801,1164.49,2.1902
10/24/2016,12:11,T14,19,18.88,IB 30-M3,IB 30,M,3,1164.49,2.1902,0.02,424.47,1.9857,1377.19,2.2715
10/26/2016,15:39,T15,21,21.03,IB 30-M3,IB 30,M,3,1377.19,2.2715,0.02,432.49,1.9521,1444.2,2.2576
10/26/2016,16:40,T15,21,21.07,IB 30-M3,IB 30,M,3,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,748.08,2.052
10/28/2016,13:45,T16,23,22.95,IB 30-M3,IB 30,M,3,748.08,2.0520,0.02,490.66,1.9681,1012.05,2.07
10/31/2016,15:05,T15,26,26,IB 30-M3,IB 30,M,3,1012.05,2.0700,0.02,499.07,1.9755,1488.83,2.118
11/2/2016,14:25,T16,28,27.98,IB 30-M3,IB 30,M,3,1488.83,2.1180,0.02,409.64,1.8979,1735.45,2.12
11/4/2016,10:25,T17,30,29.81,IB 30-M3,IB 30,M,3,1735.45,2.1200,0.02,495.88,1.9259,1940.15,2.1234
11/7/2016,15:28,T18,33,33.02,IB 30-M3,IB 30,M,3,1940.15,2.1234,0.02,494.43,1.9463,2331.35,2.1556
11/10/2016,9:58,T19,36,35.79,IB 30-M3,IB 30,M,3,2331.35,2.1556,0.02,485.39,1.9647,2546.34,2.1729
12/1/2016,11:00,T20,57,56.83,IB 30-M3,IB 30,M,3,2546.34,2.1729,0.02,767,1.919,5508,2.476
12/8/2016,14:40,T21,64,63.99,IB 30-M3,IB 30,M,3,5508.00,2.4760,0.02,598.41,2.0994,5812.18,2.5638
12/8/2016,14:40,T21,64,63.99,IB 30-M3,IB 30,M,3,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,660,2.0786
12/20/2016,9:30,T22,76,75.77,IB 30-M3,IB 30,M,3,660.00,2.0786,0.02,497.16,1.9721,2629,2.1804
1/4/2017,14:00,T23,91,90.96,IB 30-M3,IB 30,M,3,2629.00,2.1804,0.02,596,2.009,5279,2.39
1/10/2017,10:00,T24,97,96.79,IB 30-M3,IB 30,M,3,5279.00,2.3900,0.02,545,1.979,5883,2.462
1/18/2017,11:00,T25,105,104.83,IB 30-M3,IB 30,M,3,5883.00,2.4620,0.02,475,1.903,6630,2.4589
1/25/2017,13:30,T26,112,111.94,IB 30-M3,IB 30,M,3,6630.00,2.4589,0.02,544,2.028,9756,2.465
2/1/2017,10:30,T27,119,118.81,IB 30-M3,IB 30,M,3,9756.00,2.4650,0.02,623,2.05,6942,2.475
2/8/2017,14:00,T28,126,125.96,IB 30-M3,IB 30,M,3,6942.00,2.4750,0.02,500.9,1.93,6950.5,2.4519
2/15/2017,14:35,T29,133,132.98,IB 30-M3,IB 30,M,3,6950.50,2.4519,0.02,577.5,1.9565,6634.5,2.534
2/22/2017,13:30,T30,140,139.94,IB 30-M3,IB 30,M,3,6634.50,2.5340,0.02,558.9,1.912,6561.6,2.407
3/2/2017,9:40,T31,148,147.78,IB 30-M3,IB 30,M,3,6561.60,2.4070,0.02,495.6,1.923,6718,2.403
3/7/2017,14:17,T32,153,152.97,IB 30-M3,IB 30,M,3,6718.00,2.4030,0.02,411.6,1.891,6269.5,2.3526
3/15/2017,15:00,T33,161,161,IB 30-M3,IB 30,M,3,6269.50,2.3526,0.02,472.5,1.912,6075.3,2.341
10/5/2016,15:00,T7,0,0,IB 30-S1,IB 30,S,1,"","",0.02,,,584.28,2.0871
10/6/2016,15:30,T8,1,1.02,IB 30-S1,IB 30,S,1,584.28,2.0871,0.02,418.48,1.864,701.88,2.1212
10/6/2016,15:30,T8,1,1.02,IB 30-S1,IB 30,S,1,opened bottles to atmosphere,opened bottles to atmosphere,0.02,428.76,1.8666,416.69,1.7176
10/7/2016,11:13,T9,2,1.84,IB 30-S1,IB 30,S,1,701.88,2.1212,0.02,440.58,1.8563,770.85,2.1277
10/11/2016,15:11,T10,6,6.01,IB 30-S1,IB 30,S,1,770.85,2.1277,0.02,539.49,1.9878,1216.61,2.3684
10/14/2016,15:25,T11,9,9.02,IB 30-S1,IB 30,S,1,1216.61,2.3684,0.02,461.67,2.0093,1562.13,2.4901
10/17/2016,10:20,T12,12,11.81,IB 30-S1,IB 30,S,1,1562.13,2.4901,0.02,537.09,1.9267,1863.52,2.5377
10/20/2016,11:07,T13,15,14.84,IB 30-S1,IB 30,S,1,1863.52,2.5377,0.02,470.17,1.899,2060.01,2.5713
10/24/2016,12:11,T14,19,18.88,IB 30-S1,IB 30,S,1,2060.01,2.5713,0.02,425.09,1.9921,2740.39,2.68
10/26/2016,15:39,T15,21,21.03,IB 30-S1,IB 30,S,1,2740.39,2.6800,0.02,453.48,2.0181,2715.12,2.6499
10/26/2016,16:40,T15,21,21.07,IB 30-S1,IB 30,S,1,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,654.36,2.0142
10/28/2016,13:45,T16,23,22.95,IB 30-S1,IB 30,S,1,654.36,2.0142,0.02,488.05,1.9744,1122.51,2.0872
10/31/2016,15:05,T15,26,26,IB 30-S1,IB 30,S,1,1122.51,2.0872,0.02,493.14,1.964,1698.9,2.1982
11/2/2016,14:25,T16,28,27.98,IB 30-S1,IB 30,S,1,1698.90,2.1982,0.02,406.49,1.9094,1828.22,2.2316
11/4/2016,10:25,T17,30,29.81,IB 30-S1,IB 30,S,1,1828.22,2.2316,0.02,487.83,1.9196,1705.13,2.2565
11/7/2016,15:28,T18,33,33.02,IB 30-S1,IB 30,S,1,1705.13,2.2565,0.02,482.35,1.9477,2152.25,2.337
11/10/2016,9:58,T19,36,35.79,IB 30-S1,IB 30,S,1,2152.25,2.3370,0.02,493.2,2.0011,2281.01,2.3645
12/1/2016,11:00,T20,57,56.83,IB 30-S1,IB 30,S,1,2281.01,2.3645,0.02,733.9,1.925,5656,2.974
12/8/2016,14:40,T21,64,63.99,IB 30-S1,IB 30,S,1,5656.00,2.9740,0.02,560.83,2.1107,5381.53,3.057
12/8/2016,14:40,T21,64,63.99,IB 30-S1,IB 30,S,1,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,661.72,2.0971
12/20/2016,9:30,T22,76,75.77,IB 30-S1,IB 30,S,1,661.72,2.0971,0.02,505.22,2.0135,2544.21,2.3557
1/4/2017,14:00,T23,91,90.96,IB 30-S1,IB 30,S,1,2544.21,2.3557,0.02,567,2.059,4042,2.622
1/10/2017,10:00,T24,97,96.79,IB 30-S1,IB 30,S,1,4042.00,2.6220,0.02,564,2.051,3700,2.66
1/18/2017,11:00,T25,105,104.83,IB 30-S1,IB 30,S,1,3700.00,2.6600,0.02,501,1.927,3908,2.653
1/25/2017,13:30,T26,112,111.94,IB 30-S1,IB 30,S,1,3908.00,2.6530,0.02,543.8,2.044,3772.3,2.658
2/1/2017,10:30,T27,119,118.81,IB 30-S1,IB 30,S,1,3772.30,2.6580,0.02,578,2.027,3921,2.656
2/8/2017,14:00,T28,126,125.96,IB 30-S1,IB 30,S,1,3921.00,2.6560,0.02,516,1.9601,3653,2.6421
2/15/2017,14:35,T29,133,132.98,IB 30-S1,IB 30,S,1,3653.00,2.6421,0.02,626,2.0518,3383,2.6153
2/22/2017,13:30,T30,140,139.94,IB 30-S1,IB 30,S,1,3383.00,2.6153,0.02,538,1.921,3073.9,2.596
3/2/2017,9:40,T31,148,147.78,IB 30-S1,IB 30,S,1,3073.90,2.5960,0.02,504.4,1.932,3553,2.565
3/7/2017,14:17,T32,153,152.97,IB 30-S1,IB 30,S,1,3553.00,2.5650,0.02,407.9,1.897,3463.7,2.485
3/15/2017,15:00,T33,161,161,IB 30-S1,IB 30,S,1,3463.70,2.4850,0.02,466.1,1.192,3401.1,2.487
10/5/2016,15:00,T7,0,0,IB 30-S2,IB 30,S,2,"","",0.02,,,592.78,2.127
10/6/2016,15:30,T8,1,1.02,IB 30-S2,IB 30,S,2,592.78,2.1270,0.02,432.62,1.8133,597.14,2.0845
10/7/2016,11:13,T9,2,1.84,IB 30-S2,IB 30,S,2,597.14,2.0845,0.02,448.57,1.8574,651.24,2.13
10/11/2016,15:11,T10,6,6.01,IB 30-S2,IB 30,S,2,651.24,2.1300,0.02,545.4,1.985,1238.72,2.6427
10/14/2016,15:25,T11,9,9.02,IB 30-S2,IB 30,S,2,1238.72,2.6427,0.02,455.41,2.0001,1567.08,2.9267
10/17/2016,10:20,T12,12,11.81,IB 30-S2,IB 30,S,2,1567.08,2.9267,0.02,529.66,1.9212,1719.34,3.0828
10/20/2016,11:07,T13,15,14.84,IB 30-S2,IB 30,S,2,1719.34,3.0828,0.02,468.43,1.8893,1759.96,3.2425
10/24/2016,12:11,T14,19,18.88,IB 30-S2,IB 30,S,2,1759.96,3.2425,0.02,423.32,1.9879,2117.6,3.5758
10/26/2016,15:39,T15,21,21.03,IB 30-S2,IB 30,S,2,2117.60,3.5758,0.02,443.22,1.9891,2151.22,3.5354
10/26/2016,16:40,T15,21,21.07,IB 30-S2,IB 30,S,2,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,486.71,1.9884
10/28/2016,13:45,T16,23,22.95,IB 30-S2,IB 30,S,2,486.71,1.9884,0.02,488.26,1.962,844.47,2.2171
10/31/2016,15:05,T15,26,26,IB 30-S2,IB 30,S,2,844.47,2.2171,0.02,502.27,1.9689,1153.79,2.574
11/2/2016,14:25,T16,28,27.98,IB 30-S2,IB 30,S,2,1153.79,2.5740,0.02,407.76,1.9034,1343.32,2.7023
11/4/2016,10:25,T17,30,29.81,IB 30-S2,IB 30,S,2,1343.32,2.7023,0.02,489.93,1.919,1232.26,2.78
11/7/2016,15:28,T18,33,33.02,IB 30-S2,IB 30,S,2,1232.26,2.7800,0.02,497,1.953,1635.16,3.0151
11/10/2016,9:58,T19,36,35.79,IB 30-S2,IB 30,S,2,1635.16,3.0151,0.02,487.31,1.9759,1795.34,3.1547
12/1/2016,11:00,T20,57,56.83,IB 30-S2,IB 30,S,2,1795.34,3.1547,0.02,754,1.925,4892,5.62
12/8/2016,14:40,T21,64,63.99,IB 30-S2,IB 30,S,2,4892.00,5.6200,0.02,612.27,2.1026,4590,5.8038
12/8/2016,14:40,T21,64,63.99,IB 30-S2,IB 30,S,2,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,667.63,2.0962
12/20/2016,9:30,T22,76,75.77,IB 30-S2,IB 30,S,2,667.63,2.0962,0.02,489.13,1.9774,2414.52,3.355
1/4/2017,14:00,T23,91,90.96,IB 30-S2,IB 30,S,2,2414.52,3.3550,0.02,578,2.064,2850,4.697
1/10/2017,10:00,T24,97,96.79,IB 30-S2,IB 30,S,2,2850.00,4.6970,0.02,555,2.005,3232,4.872
1/18/2017,11:00,T25,105,104.83,IB 30-S2,IB 30,S,2,3232.00,4.8720,0.02,518,1.916,3757,5.158
1/25/2017,13:30,T26,112,111.94,IB 30-S2,IB 30,S,2,3757.00,5.1580,0.02,551,2.029,3911,5.359
2/1/2017,10:30,T27,119,118.81,IB 30-S2,IB 30,S,2,3911.00,5.3590,0.02,603.6,2.0285,4065,5.4862
2/8/2017,14:00,T28,126,125.96,IB 30-S2,IB 30,S,2,4065.00,5.4862,0.02,523.5,1.9592,4303,5.6265
2/15/2017,14:35,T29,133,132.98,IB 30-S2,IB 30,S,2,4303.00,5.6265,0.02,582.7,2.014,4310.2,5.541
2/22/2017,13:30,T30,140,139.94,IB 30-S2,IB 30,S,2,4310.20,5.5410,0.02,555.6,1.918,4452,5.569
3/2/2017,9:40,T31,148,147.78,IB 30-S2,IB 30,S,2,4452.00,5.5690,0.02,495,1.933,4440,5.739
3/7/2017,14:17,T32,153,152.97,IB 30-S2,IB 30,S,2,4440.00,5.7390,0.02,405.2,1.891,4160.8,5.546
3/15/2017,15:00,T33,161,161,IB 30-S2,IB 30,S,2,4160.80,5.5460,0.02,482.8,1.9205,4456.2,5.718
10/5/2016,15:00,T7,0,0,IB 30-S3,IB 30,S,3,"","",0.02,,,631.13,2.1841
10/6/2016,15:30,T8,1,1.02,IB 30-S3,IB 30,S,3,631.13,2.1841,0.02,419.32,1.8604,720.5,2.2766
10/7/2016,11:13,T9,2,1.84,IB 30-S3,IB 30,S,3,720.50,2.2766,0.02,452.66,1.8549,769.34,2.3255
10/11/2016,15:11,T10,6,6.01,IB 30-S3,IB 30,S,3,769.34,2.3255,0.02,544.13,1.9958,1437.76,2.9104
10/14/2016,15:25,T11,9,9.02,IB 30-S3,IB 30,S,3,1437.76,2.9104,0.02,458.39,1.9997,2060.23,3.2458
10/17/2016,10:20,T12,12,11.81,IB 30-S3,IB 30,S,3,2060.23,3.2458,0.02,525.32,1.9193,2395.8,3.4354
10/20/2016,11:07,T13,15,14.84,IB 30-S3,IB 30,S,3,2395.80,3.4354,0.02,483.51,1.8975,2714.66,3.6252
10/24/2016,12:11,T14,19,18.88,IB 30-S3,IB 30,S,3,2714.66,3.6252,0.02,422.57,1.9897,3129.12,3.9727
10/26/2016,15:39,T15,21,21.03,IB 30-S3,IB 30,S,3,3129.12,3.9727,0.02,436.21,1.9796,3061.03,3.9137
10/26/2016,16:40,T15,21,21.07,IB 30-S3,IB 30,S,3,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,488.34,1.9806
10/28/2016,13:45,T16,23,22.95,IB 30-S3,IB 30,S,3,488.34,1.9806,0.02,481.13,1.9597,929.85,2.2645
10/31/2016,15:05,T15,26,26,IB 30-S3,IB 30,S,3,929.85,2.2645,0.02,502.77,1.993,1103.01,2.655
11/2/2016,14:25,T16,28,27.98,IB 30-S3,IB 30,S,3,1103.01,2.6550,0.02,406.55,1.9036,1446.93,2.808
11/4/2016,10:25,T17,30,29.81,IB 30-S3,IB 30,S,3,1446.93,2.8080,0.02,497.53,1.9178,1589.05,2.889
11/7/2016,15:28,T18,33,33.02,IB 30-S3,IB 30,S,3,1589.05,2.8890,0.02,498.41,1.9536,2143.75,3.1766
11/10/2016,9:58,T19,36,35.79,IB 30-S3,IB 30,S,3,2143.75,3.1766,0.02,492.42,1.9875,2325.31,3.3238
12/1/2016,11:00,T20,57,56.83,IB 30-S3,IB 30,S,3,2325.31,3.3238,0.02,767,1.93,5834,6.063
12/8/2016,14:40,T21,64,63.99,IB 30-S3,IB 30,S,3,5834.00,6.0630,0.02,600.67,2.096,5779.34,6.281
12/8/2016,14:40,T21,64,63.99,IB 30-S3,IB 30,S,3,opened bottles to atmosphere,opened bottles to atmosphere,0.02,,,691.97,2.1079
12/20/2016,9:30,T22,76,75.77,IB 30-S3,IB 30,S,3,691.97,2.1079,0.02,494.32,1.9753,2540.12,3.4521
1/4/2017,14:00,T23,91,90.96,IB 30-S3,IB 30,S,3,2540.12,3.4521,0.02,582,2.028,4561,5.162
1/10/2017,10:00,T24,97,96.79,IB 30-S3,IB 30,S,3,4561.00,5.1620,0.02,552,2.029,4510,5.21
1/18/2017,11:00,T25,105,104.83,IB 30-S3,IB 30,S,3,4510.00,5.2100,0.02,470,1.9,3320,5.376
1/25/2017,13:30,T26,112,111.94,IB 30-S3,IB 30,S,3,3320.00,5.3760,0.02,543,2.0377,3759,5.5316
2/1/2017,10:30,T27,119,118.81,IB 30-S3,IB 30,S,3,3759.00,5.5316,0.02,619.3,2.035,3867,5.676
2/8/2017,14:00,T28,126,125.96,IB 30-S3,IB 30,S,3,3867.00,5.6760,0.02,512.9,1.957,4263,5.882
2/15/2017,14:35,T29,133,132.98,IB 30-S3,IB 30,S,3,4263.00,5.8820,0.02,602.8,2.0026,4364.3,5.7697
2/22/2017,13:30,T30,140,139.94,IB 30-S3,IB 30,S,3,4364.30,5.7697,0.02,575.9,1.92,4659.9,5.869
3/2/2017,9:40,T31,148,147.78,IB 30-S3,IB 30,S,3,4659.90,5.8690,0.02,491,1.932,4845,5.943
3/7/2017,14:17,T32,153,152.97,IB 30-S3,IB 30,S,3,4845.00,5.9430,0.02,405.9,1.889,4670.1,5.7042
3/15/2017,15:00,T33,161,161,IB 30-S3,IB 30,S,3,4670.10,5.7042,0.02,479.3,1.919,5416.1,5.903
